Name,University/Organization,No_of_times_as_TPC
Thyaga Nandagopal,Alcatel-Lucent,1
Brian Levine,Amherst,2
Lori Burrow,Madison,1
Violet Syrotiuk,Arizona State University,5
Mei Yang,Las Vegas,1
Yih-Chun Hu,University of Illinois Urbana Champaign,1
Habib M. Ammari,University of Michigan Dearborn,1
Kuang-Ching Wang,Clemson University,1
Aditya Akella,University of Wisconsin Madison,2
Xi Zhang,Texas A&M University,1
Bechir Hamdaoui,Oregon State University,1
Imrich Chlamtac,Create-Net,4
David B. Johnson,Rice University,23
Aruna   Balasubramanian,University of Washington,1
Nilanjan        Banerjee,University of Arkansas,1
Yigal   Bejerano,Bell Labs,1
Elizabeth       Belding,University of California Santa Barbara,1
Milind  Buddhikot,Bell Labs,1
Sunghyun        Choi,Seoul National University,1
Romit   Choudhury,Duke University,1
Mark    Corner,University of Massachusetts Amherst,1
Landon  Cox,Duke University,1
Samir   Das,Stony Brook University,1
Nigel   Davies,Lancaster University,1
Prabal  Dutta,University of Michigan,1
Deepak  Ganesan,University of Massachusetts Amherst,1
Ben     Greenstein,Google,1
Marco   Gruteser,Rutgers University,1
Himanshu        Gupta,Stony Brook University,1
Dina    Kitabi,Massachusetts Institute of Technology,1
Edward  Knightly,Rice University,1
Yunhao  Liu,Hong Kong University of Science and Technology,1
Cecilia         Mascolo,University of Cambridge,1
Patrick McDaniel,Pennsylvania State University,3
Thomas  Moscibroda,Microsoft Research,1
Peng    Ning,North Carolina State University,1
Brian   Noble,University of Michigan,1
Dina    Papagiannaki,Intel Labs Pittsburgh,1
Lili    Qiu,University of Texas Austin,1
Bhaskaran       Raman,Indian Institute of Technology Bombay,1
Ramachandran    Ramjee,Microsoft Research India,1
Anmol   Sheth,Intel Labs Settle,1
Prasun  Sinha,Ohio State University,1
Raghupathy      Sivakumar,Georgia Institute of Technology,1
Ashwin  Sridharan,AT&T,1
Vikram  Srinivasan,Bell Labs India,1
Peter   Steenkiste,Carnegie Mellon University,1
Karthik Sundaresan,NEC Labs,3
Kun     Tan,Microsoft Research Asia,1
Moustafa        Youssef,Egypt- Japan University of Science and Technology,1
Heather Zheng,University of California Santa Barbara,3
Gil Zussman,Columbia University,2
Sung-Ju Lee,Inc.,1
Ashutosh Sabharwal,Rice University,5
Prasun Sinha,Ohio State University,7
Chiara Petrioli,"University of Rome ""La Sapienza""",2
Ignacio Solis,PARC,1
Thyaga Nandagopal,National Science Foundation,7
Shyamnath Gollakota,University of Washington,6
Ilias Leontiadis,Telefonica Research,3
Ramya Raghavendra,IBM TJ Watson Research Center,1
Souvik Sen,HP Labs,2
Xinyu Zhang,University of Wisconsin,3
Saumitra Das,Qualcomm Research Center,1
Joseph Camp,Southern Methodist University,2
Eugene Chai,NEC Labs,2
Aline Carneiro Viana,INRIA,1
Yung Yi,KAIST,1
Konstantinos Pelechrinis,University of Pittsburgh,1
Riccardo Crepaldi,Google,1
Lara Deek,Santa Barbara,1
Aakansha Chowdhery,Microsoft Research,1
Wenjun Hu,Yale University,6
Marco Levorato,Irvine,1
Rui Zhang,University of Hawaii,1
Eduardo Cuervo,Microsoft Research,1
Emiliano Miluzzo,AT&T Research,1
Katia Obraczka,University of California Santa Cruz,1
Patrick Tague,Carnegie Mellon University,1
Dimitrios Koutsonikolas,University at Buffalo,4
Aaron Schulman,Stanford,1
Dong Li,LinkedIn,1
Suman Banerjee,University of Wisconsin Madison,13
Ramesh Govindan,University of Southern California,10
Kang Shin,University of Michigan,8
Sharad Agarwal,Microsoft Research,3
Ehsan Aryafar,Intel Labs,1
Aruna Balasubramanian,University of Washington,1
Giuseppe Bianchi,Universita di Roma Tor Vergata,1
Ranveer Chandra,Microsoft Research,6
Yingying,Stevens Institute of Technology,2
Song Chong,KAIST,1
Romit Roy Choudhury,University of Illinois Urbana Champaign,2
Samir Das,Stony Brook University,4
Supratim Deb,Alcatel Lucent,1
Prabal Dutta,University of Michigan,2
Christina Fragouli,University of California Los Angeles,2
Mario Gerla,University of California Los Angeles,7
Ben Greenstein,Google,8
Marco Gruteser,Rutgers University,8
Omer Gurewitz,Ben Gurion University,2
Polly Huang,National Taiwan University,2
Kyle Jamieson,University College London,4
Edward Knightly,Rice University,11
Sung-Ju Lee,Narus,1
