Name,University/Organization,No_of_times_as_TPC
Kamin Whitehouse,University of Virginia,7
Adam Wolisz,TU Berlin,5
Philip Levis,CA,1
Steve Eglash,CA,1
Lama Nachman,CA,2
Anthony Rowe,PA,1
Karthik Dantu,State University of New York,1
Xuesong,Carnegie Mellon University,1
Shijia Pan,PA,1
Pandarasamy Arjunan,IIIT-Delhi,1
David E. Culler,Berkeley,1
Dimitrios Lymberopoulos,Microsoft Research,2
Geoffrey Werner-Challen,SUNY Buffalo,1
Hae Young Noh,Pittsburgh,1
Josh Smith,University of Washington,1
Kartik Dantu,SUNY Buffalo,1
Kay Romer,ETH Zurich,1
Lothar Thiele,ETH,1
Luca Mottola,SICS / Politecnico di Milano,1
Marco Zuniga,TU Delft,4
Nicholas Lane,University College London and Bell Labs,1
Niki Trigoni,Oxford University,2
Pei Zhang,Silicon Valley,1
Robin Kravets,University of Illinois Urbana Champaign,1
Silvia Santini,TU Dresden,1
Vijay Raghunathan,Purdue University,2
Xiaofan Jiang,Columbia University,2
John A. Stankovic,University of Virginia,2
Phillippe Bonnet,University of Copenhagen,2
Chenyang Lu,Washington University,2
Sang Son,University of Virginia,1
Anupam Joshi,University of Maryland Baltimore,1
Mark Yarvis,Intel Research,1
John Regehr,University of Utah,1
Badri Nath,Rutgers University,1
Prasun Sinha,Ohio State University,1
Dong Xuan,Ohio State University,1
Wendi Heinzelman,University of Rochester,2
Sandeep Kulkarni,Michigan State,1
Tarek Abdelzaher,University of Virginia,1
Deborah Estrin,Universityof California Los Angeles,1
Gul Agha,University of Illinois Urbana Champaign,1
Gaetano Borriello,University of Washington,1
Hugh Durrant-Whyte,University of Sydney,1
Mohamed Gouda,University of Texas Austin,1
Urbashi Mitra,University of Southern California,1
John Heidemann,USC/ISI,3
P.R. Kumar,University of Illinois Urbana Champaign,1
Mike Lemmon,University of Notre Dame,1
Ulrich Schmid,Technische Universitat Wien,1
Dawn Song,Carnegie Mellon University,1
Feng Zhao,Microsoft Research,5
Taieb Znati,NSF,1
Luca Mottola,Sweden and Politecnico di Milano,1
Fernando Kuipers,TU Delft,1
Lin Zhang,Tsinghua University and Tsinghua-Berkeley Shenzhen Institute,1
Jorge Ortiz,IBM T. J. Watson Research Center,1
Brad Campbell,University of Michigan,1
Carlo Alberto Boano,TU Graz,1
Marco Cattani,Graz University of Technology,1
Vijay S. Rao,TU Delft,1
Paula Diks,TU Delft,1
Karthik Dantu,University at Buffalo State University of New York,1
Brano Kusy,CSIRO,2
Nic Lane,University College London and Nokia Bell Labs,1
Kay Römer,Graz University of Technology,1
Tam Vu,University of Colorado Boulder & UC Denver,1
Vaneet Aggarwal,Purdue University,1
Carlo Alberto Boano,Graz University of Technology,1
Brad Campbell,University of Virginia,1
Simon Duquennoy,Inria and RISE SICS,1
Magnús Halldórsson,Reykjavik University,1
JeongGil Ko,Ajou University,2
Olaf Landsiedel,Chalmers University of Technology,1
Mo Sha,Binghamton University,1
Philipp Sommer,ABB Corporate Research,1
Ranga Rao Venkatesha Prasad,TU Delft,1
Yanyong Zhang,Rutgers University,1
Yuanqing Zheng,Hong Kong Polytechnic University,1
Chiara Petrioli,University of Rome 'La Sapienza',1
Landon Cox,Duke University,3
Luca Mottola,Politecnico di Milano and Swedish Institute of Computer Science,2
Emiliano Miliuzzo,AT&T Labs,1
Amy Murphy,FBK,2
Francesca Cuomo,University of Rome 'La Sapienza',1
Gaia Maselli,University of Rome 'La Sapienza',1
Andrea Vitaletti,University of Rome 'La Sapienza',1
Stefano Basagni,Northeastern University,1
Salil Kanhere,University of New South Wales,1
Mike Chieh-Jan Liang,Microsoft Research,1
Wendi Heizelman,University of Rochester,1
Luca Benini,ETH Zurich & University of Bologna,1
Pedro Marron,University of Duisburg-Essen,1
Laura Galluccio,University of Catania,1
Dora Spenza,University of Rome 'La Sapienza',1
Yuvraj Agarwal,University of California San Diego,1
Geoffrey Challen,University at Buffalo,1
Tanzeem Choudhary,Cornell University,1
David Chu,Microsoft Research,2
Deborah Estrin,Cornell Tech,1
Fred Jiang,Intel Labs,1
Nic Lane,Microsoft Research,1
Pedro Jose Marron,University of Duisburg Essen,1
Lama Nachman,Intel Labs,1
Silvia Santini,TU Darmstadt,2
Junehwa Song,Korean Advanced Institute of Science and Technology,1
Philippe Bonnet,University Copenhagen,1
Yunhao Liu,Hong Kong University of Science and Technology,1
Injong Rhee,North Carolina State University,2
Thiemo Voigt,Swedish Institute of Computer Science,1
Liqian Luo,Microsoft Research,1
Yoshito Tobe,Tokyo Denki University,3
Matt Welsh,Harvard,1
Ying Zhang,PARC,1
Peter Corke,CSIRO ICT Centre,1
Andrew Campbell,Dartmouth University,7
Sam Madden,Massachusetts Institute of Technology,4
Joe Polastre,Sentilla,1
Jie Liu,Microsoft Research and Matt Welsh,1
Paul Wright,University of California Berkeley/CITRIS,1
Gilman Tolle,University of California Merced,1
David Gay,Intel Research,2
Peter Corke,CSIRO,2
Jeonghoon Kang,KETI,1
Richardt Wilkinson,Cape Peninsula University of Technology,1
Raju Pandey,University of California Davis and SynapSense,1
Pedro Jose Marron,University of Bonn and Fraunhofer IAIS,1
Kris Pister,University of California Berkeley,1
Nigamanth Sridhar,Cleveland State University,1
Philippe Bonnet,DIKU,3
Andrew Christian,Nokia,1
Amol Deshpande,Maryland,2
Adam Dunkels,SICS,2
Kevin Fu,University of Massachusetts Amherst,1
John Heidemann,University of Southern California,4
Polly Huang,Nanyang Technological University,3
Zachary Ives,University of Pennsylvania,1
Philip Levis,Stanford,4
Nithya Ramanathan,University of California Los Angeles,1
Alex Snoeren,University of California San Diego,1
Subhash Suri,University of California Santa Barbara,2
Andreas Terzis,Johns Hopkins University,2
Fan Ye,IBM Watson Lab,1
Feng Zhao,MSR,1
Philipe Bonnet,IT University of Copenhagen,1
Phillip Gibbons,Intel Research,4
John Heidemann,ISI/USC,1
Sanjay Jha,University of New South Wales,2
Akos Ledeczi,Vanderbilit/ISIS,1
Chiara Petrioli,Universita' degli Studi di Roma,1
Sylvia Ratnasamy,Intel Labs Berkeley,1
Andrew T. Campbell,Dartmouth College,1
Geoffrey Challen,SUNY Buffalo,2
Xue Liu,McGill University,1
Qing Cao,University of Tennessee,1
Xiaofan,Intel Labs,1
Chiara Petrioli,University of Rome La Sapienza,1
Karthik Dantu,Harvard University,1
