Name,University/Organization,Type of Chair,Conference,Year
Heather Zheng,University of California Santa Barbara,Program Committee,MobiCom,2011
Gil Zussman,Columbia University,Program Committee,MobiCom,2011
Sung-Ju Lee,Inc.,Organizing Committee General Chair,MobiCom,2014
Ashutosh Sabharwal,Rice University,Technical Program Co-Chair,MobiCom,2014
Prasun Sinha,Ohio State University,Technical Program Co-Chair,MobiCom,2014
Chiara Petrioli,"University of Rome ""La Sapienza""",Workshops Co-Chair,MobiCom,2014
Ignacio Solis,PARC,Workshops Co-Chair,MobiCom,2014
Thyaga Nandagopal,National Science Foundation,Panel Chair,MobiCom,2014
Shyamnath Gollakota,University of Washington,Demo Co-Chair,MobiCom,2014
Ilias Leontiadis,Telefonica Research,Demo Co-Chair,MobiCom,2014
Ramya Raghavendra,IBM TJ Watson Research Center,Demo Co-Chair,MobiCom,2014
Souvik Sen,HP Labs,Posters Co-Chair,MobiCom,2014
Xinyu Zhang,University of Wisconsin,Posters Co-Chair,MobiCom,2014
Saumitra Das,Qualcomm Research Center,SRC Chair,MobiCom,2014
Joseph Camp,Southern Methodist University,Finance Chair,MobiCom,2014
Eugene Chai,NEC Labs,Publicity Co-Chair,MobiCom,2014
Aline Carneiro Viana,INRIA,Publicity Co-Chair,MobiCom,2014
Yung Yi,KAIST,Publicity Co-Chair,MobiCom,2014
Konstantinos Pelechrinis,University of Pittsburgh,Web Chair,MobiCom,2014
Riccardo Crepaldi,Google,Social Media/Blog Co-Chair,MobiCom,2014
Lara Deek,Santa Barbara,Social Media/Blog Co-Chair,MobiCom,2014
Aakansha Chowdhery,Microsoft Research,Publication Co-Chair,MobiCom,2014
Wenjun Hu,Yale University,Publication Co-Chair,MobiCom,2014
Marco Levorato,Irvine,Local Arrangements Co-Chair,MobiCom,2014
Rui Zhang,University of Hawaii,Local Arrangements Co-Chair,MobiCom,2014
Eduardo Cuervo,Microsoft Research,Mobile App Competition Co-Chair,MobiCom,2014
Emiliano Miluzzo,AT&T Research,Mobile App Competition Co-Chair,MobiCom,2014
Katia Obraczka,University of California Santa Cruz,Registration Co-Chair,MobiCom,2014
Patrick Tague,Carnegie Mellon University,Registration Co-Chair,MobiCom,2014
Dimitrios Koutsonikolas,University at Buffalo,Student Travel Grants Chair,MobiCom,2014
Aaron Schulman,Stanford,Corporate Sponsorship Chair,MobiCom,2014
Dong Li,LinkedIn,HotCRP chair,MobiCom,2014
Victor Bahl,Microsoft Research,Steering Committee,MobiCom,2014
Suman Banerjee,University of Wisconsin Madison,Steering Committee,MobiCom,2014
Ramesh Govindan,University of Southern California,Steering Committee,MobiCom,2014
David B. Johnson,Rice University,Steering Committee,MobiCom,2014
Kang Shin,University of Michigan,Steering Committee,MobiCom,2014
Sharad Agarwal,Microsoft Research,Program Committee,MobiCom,2014
Ehsan Aryafar,Intel Labs,Program Committee,MobiCom,2014
Victor Bahl,Microsoft Research,Program Committee,MobiCom,2014
Aruna Balasubramanian,University of Washington,Program Committee,MobiCom,2014
Giuseppe Bianchi,Universita di Roma Tor Vergata,Program Committee,MobiCom,2014
Joseph Camp,Southern Methodist University,Program Committee,MobiCom,2014
Ranveer Chandra,Microsoft Research,Program Committee,MobiCom,2014
Yingying,Stevens Institute of Technology,Program Committee,MobiCom,2014
Song Chong,KAIST,Program Committee,MobiCom,2014
Romit Roy Choudhury,University of Illinois Urbana Champaign,Program Committee,MobiCom,2014
Samir Das,Stony Brook University,Program Committee,MobiCom,2014
Supratim Deb,Alcatel Lucent,Program Committee,MobiCom,2014
Prabal Dutta,University of Michigan,Program Committee,MobiCom,2014
Christina Fragouli,University of California Los Angeles,Program Committee,MobiCom,2014
Mario Gerla,University of California Los Angeles,Program Committee,MobiCom,2014
Shyamnath Gollakota,University of Washington,Program Committee,MobiCom,2014
Ben Greenstein,Google,Program Committee,MobiCom,2014
Marco Gruteser,Rutgers University,Program Committee,MobiCom,2014
Omer Gurewitz,Ben Gurion University,Program Committee,MobiCom,2014
Polly Huang,National Taiwan University,Program Committee,MobiCom,2014
Kyle Jamieson,University College London,Program Committee,MobiCom,2014
Edward Knightly,Rice University,Program Committee,MobiCom,2014
Sung-Ju Lee,Narus,Program Committee,MobiCom,2014
Baochun Li,University of Toronto,Program Committee,MobiCom,2014
Xiangyang Li,Illinois Institute of Technology,Program Committee,MobiCom,2014
Kate Lin,Academica Sinica,Program Committee,MobiCom,2014
Songwu Lu,University of California Los Angeles,Program Committee,MobiCom,2014
Thomas Moscibroda,Microsoft Research,Program Committee,MobiCom,2014
Thyaga Nandagopal,National Science Foundation,Program Committee,MobiCom,2014
Vishnu Navda,Microsoft Research India,Program Committee,MobiCom,2014
Srihari Nelakuditi,University of South Carolina,Program Committee,MobiCom,2014
Jason Nieh,Columbia University,Program Committee,MobiCom,2014
Chunyi Peng,Ohio State University,Program Committee,MobiCom,2014
Chiara Petriolli,Universita' degli Studi di Roma,Program Committee,MobiCom,2014
Lili Qiu,University of Texas Austin,Program Committee,MobiCom,2014
Souvik Sen,HP Labs,Program Committee,MobiCom,2014
Srinivasan Seshan,Carnegie Mellon University,Program Committee,MobiCom,2014
Raghupathy Sivakumar,Georgia Institute of Technology,Program Committee,MobiCom,2014
Alex Snoeren,University of California San Diego,Program Committee,MobiCom,2014
Kannan Srinivasan,Ohio State University,Program Committee,MobiCom,2014
Lakshmi Subramanian,New York University,Program Committee,MobiCom,2014
Karthikeyan Sundaresan,NEC Labs,Program Committee,MobiCom,2014
Nitin Vaidya,University of Illinois Urbana Champaign,Program Committee,MobiCom,2014
Arun Venkataramani,University of Massachusetts Amherst,Program Committee,MobiCom,2014
Xinbing Wang,Shanghai Jiao Tong University,Program Committee,MobiCom,2014
Matt Welsh,Google,Program Committee,MobiCom,2014
Joerg Widmer,IMDEA,Program Committee,MobiCom,2014
Ho Yin Starsky Wong,Facebook,Program Committee,MobiCom,2014
Guoliang Xing,Michigan State University,Program Committee,MobiCom,2014
Moustafa Youssef,Egypt-Japan University of Science and Technology Egypt,Program Committee,MobiCom,2014
Lin Zhong,Rice University,Program Committee,MobiCom,2014
Christopher Rose,Rutgers University,General Chair,MobiCom,2001
Sergio Palazzo,Università di Catania,General Vice Chair,MobiCom,2001
Mahmoud Naghshineh,IBM T.J. Watson Research Center,Program Co-Chair,MobiCom,2001
Michele Zorzi,Università di Ferrara,Program Co-Chair,MobiCom,2001
David B. Johnson,Rice University,Finance Chair,MobiCom,2001
Ravi Jain,Telcordia Technologies,Tutorials Co-Chair,MobiCom,2001
Chiara Petrioli,"Università di Roma ""La Sapienza""",Tutorials Co-Chair,MobiCom,2001
Tom LaPorta,Lucent Technologies,Panel Chair,MobiCom,2001
Ramesh Rao,University of California San Diego,Panel Vice-Chair,MobiCom,2001
Kimberly Wasserman,University of Michigan,Panel Vice-Chair,MobiCom,2001
Nigel Davies,Lancaster University,Research Demos Chair,MobiCom,2001
Maurizio A. Bonuccelli,Università di Pisa,Workshops Co-Chair,MobiCom,2001
Mario Gerla,University of California Los Angeles,Workshops Co-Chair,MobiCom,2001
Irene Katzela,Lucent Tech.,Registration Chair,MobiCom,2001
Marco Listanti,"Università di Roma ""La Sapienza""",Local Arrangements Chair,MobiCom,2001
Chiara Petrioli,"Università di Roma ""La Sapienza""",Local Arrangements Chair,MobiCom,2001
Marco Ajmone Marsan,Politecnico di Torino,Sponsorships/Exhibits Chair,MobiCom,2001
Stefano Basagni,University of Texas Dallas,Publication and Publicity Co-Chair,MobiCom,2001
Krishna Sivalingam,Washington State University,Publication and Publicity Co-Chair,MobiCom,2001
Imrich Chlamtac,University of Texas Dallas,Steering Committee Chair,MobiCom,2001
Lisette Burgos,ACM,ACM Program Director,MobiCom,2001
Arup Acharya,IBM Research,Program Committee,MobiCom,2001
Prathima Agrawal,Telcordia,Program Committee,MobiCom,2001
B. R. Badrinath,Rutgers Univeristy,Program Committee,MobiCom,2001
Victor Bahl,Microsoft Research,Program Committee,MobiCom,2001
Mary Baker,Stanford,Program Committee,MobiCom,2001
Hari Balakrishnan,Massachusetts Institute of Technology,Program Committee,MobiCom,2001
Nicholas Bambos,Stanford,Program Committee,MobiCom,2001
Amotz Bar-Noy,AT&T Labs,Program Committee,MobiCom,2001
Stefano Basagni,University of Texas Dallas,Program Committee,MobiCom,2001
Roberto Battiti,University of Trento,Program Committee,MobiCom,2001
Pravin Bhagwat,AT&T Labs,Program Committee,MobiCom,2001
Ezio Biglieri,Politecnico di Torino,Program Committee,MobiCom,2001
Andrew Campbell,Columbia University,Program Committee,MobiCom,2001
Antonio Capone,Politecnico di Milano,Program Committee,MobiCom,2001
K.C. Chen,National Taiwan University,Program Committee,MobiCom,2001
A. Chockalingam,Indian Institute of Science,Program Committee,MobiCom,2001
Sajal Das,University of Texas Arlington,Program Committee,MobiCom,2001
