Name,University/Organization,No_of_times_as_TPC
K.K. Ramakrishnan,TeraOptic Networks,1
Jennifer Rexford,AT&T,1
Luigi Rizzo,University Pisa,2
Jim Roberts,France Telecom,3
Henning Schulzrine,Columbia University,2
Jonathan Smith,University Pennsylvania,1
Joe Touch,ISI/USC,1
Don Towsley,University Massachusetts,2
Ellen Zegura,Georgia Institute of Technology,8
Jun Murai,Keio University,1
Kenjiro Cho,IIJ,4
Nina Taft,Intel Research,3
Anja Feldmann,Deutsche Telekom Labs/TU-Berlin,2
Paul Francis,Cornell University,1
Hiroshi Esaki,University of Tokyo,1
Craig Partridge,BBN Technologies,8
Jelena Mirkovic,University of Delaware,1
Ryuji Wakikawa,Keio University,1
T.S. Eugene Ng,Rice University,2
Katherine Guo,Bell Labs,1
Guillaume Urvoy-Keller,Eurecom,1
Sue Moon,KAIST,4
Klaus Wehrle,RWTH Aachen,2
Christophe Diot,Thomson Research,1
Shigeya Suzuki,USC/ISI,1
Jaudelice C. de Oliveira,Drexel University,3
Sharad Agarwal,Microsoft - USA,1
Aditya Akella,University of Wisconsin Madison,3
Paul Barford,University of Wisconsin Madison,1
Samrat Bhattacharjee,University of Maryland,1
Chen-Nee Chuah,University of California Davis,2
Patrick Crowley,Washington University in St. Louis,1
Constantine Dovrolis,Georgia Institute of Technology,2
Deborah Estrin,University of California Los Angeles,1
Kevin Fall,Intel Research,1
Kensuke Fukuda,National Institute of Informatics,1
Albert Greenberg,Microsoft - USA,1
Steve Gribble,University of Washington,1
James Gross,TU Berlin,1
Krishna Gummadi,Max Plank Institute for Software Systems,1
John Heidemann,ISI,1
Jean-Pierre Hubaux,EPFL,1
Roger Karrer,Deutsche Telekom Laboratories,1
Dina Katabi,Massachusetts Institute of Technology,10
Dmitri Krioukov,CAIDA,1
T.V. Lakshman,Bell Labs,1
Legout,Arnaud,1
Phil Levis,Stanford,2
Steven Low,California Institute of Technology,3
John C.S. Lui,Chinese University of Hong Kong,2
Bruce Maggs,Carnegie Mellon University/Akamai Technologies,1
David Maltz,Microsoft - USA,1
Laurent Mathy,Lancaster University,6
Pietro Michiardi,Eurecom,1
Muthukrishnan Muthu,Google,1
Venkat Padmanabhan,Microsoft - USA,1
Christos Papadopoulos,Colorado State University,2
Dina Papagiannaki,Intel Research,4
Adrian Perrig,Carnegie Mellon University,3
Bhaskar Raman,Indian Institute of Technology in Kanpur India,1
Jennifer Rexford,Princeton University,3
Matthew Roughan,University of Adelaide,4
Stefan Savage,University of California San Diego,6
Anees Shaikh,IBM TJ Watson Research Center,1
Renata Teixeira,CNRS,2
Fumio Teraoka,Keio University,1
Patrick Thiran,EPFL,4
Milan Vojnovic,Microsoft - England,1
Kobus van der Merwe,AT&T,1
David Wetherall,Intel Research & University of Washington,1
Joerg Widmer,NTT DoCoMo Euro-Labs,1
Walter Willinger,AT&T,1
Qian Zhang,Hong Kong University of Science and Technology,1
Yin Zhang,University of Texas Austin,6
Yongguang Zhang,Microsoft Research Asia,1
Zhi-Li Zhang,University of Minnesota,2
David Andersen,Carnegie Mellon University,2
Yan Chen,Northwestern University,1
Cristian Estan,University of Wisconsin,2
Nick Feamster,Georgia Institute of Technology,3
Yih-Chun Hu,University of Illinois Urbana Champaign,1
Aleksandar Kuzmanovic,Northwestern University,1
Jinyang Li,New York University,2
Z. Morley Mao,University of Michigan,5
Lili Qiu,University of Texas Austin,6
Sanjay Rao,Purdue University,1
Sylvia Ratnasamy,Intel Research,3
Dan Rubenstein,Columbia University,2
Lakshminarayanan Subramanian,New York University,1
Helen Wang,Microsoft Research,2
Brad KarpUniversity College London,UK,1
Jitendra PadhyeMicrosoft Research,USA,1
Mohammad AlizadehMassachusetts Institute of Technology and Cisco,USA,1
Katerina ArgyrakiEPFL,Switzerland,1
Aruna Balasubramanian,Stony Brook University,1
Sujata Banerjee,HP Labs,3
Keren Bergman,Columbia University,1
John Byers,Boston University,7
Jeff Chase,Duke University,1
Mung Chiang,Princeton University,1
Jon Crowcroft,University of Cambridge,8
Anja Feldmann,Technische University Berlin,1
Bryan Ford,Yale University,1
Lixin Gao,University of Massachusetts Amherst,2
Srikanth Kandula,Microsoft Research,3
Sachin Katti,Stanford,5
John C.S.Lui,Chinese University of Hong Kong,1
Dave Oran,Cisco,3
George Papen,University of California San Diego ECE,1
KyoungSoo Park,KAIST,3
George Porter,University of California San Diego CSE,1
Luigi Rizzo,Italy,1
Ashutosh Sabharwal,Rice University,2
Stefan Savage,University of California San Diego CSE,1
Michael Schapira,Hebrew University,1
Pramod Viswanath,University of Illinois Urbana Champaign,1
Geoff Voelker,University of California San Diego CSE,1
Michael Walfish,New York University,1
Jia Wang,AT&T Research,1
Philip Watts,University College London,2
David Wetherall,Google and University of Washington,1
Keith Winstein,Stanford,6
Ming Zhang,Microsoft Research,1
Lin Zhong,Rice University,1
Roch Guerin,University of Pennsylvania,3
Ramesh Govindan,University of Southern California,5
Greg Minshall,Unaffiliated,1
Joe Touch,USC/Information Sciences Institute,2
Honghui Lu,University of Pennsylvania,1
Saswati Sarkar,University of Pennsylvania,1
Andreas Terzis,Johns Hopkins University,1
Subhabrata Sen,AT&T Labs-Research,1
Christos Papadopoulos,University of Southern California,2
Debanjan Saha,IBM Research,1
Steven Weber,Drexel University,1
Dimitrios Stiliadis,Lucent,1
Steve Bellovin,Columbia University,1
RobertBraden,USC/ISI,1
Eddie Kohler,University of California Los Angeles,3
Kenjiro Cho,Internet Initiative,1
Balachander Krishnamurthy,AT&T Labs-Research,2
T.V. Lakshman,Lucent,1
Bruce Davie,Cisco,2
Bruce Maggs,Carnegie Mellon University,1
Richard Draves,Microsoft Research,1
Jeff Mogul,HP Labs,2
Anja Feldmann,TU,1
Peter Honeyman,University of Michigan,1
Ion Stoica,University of California Berkeley,7
Larry Huston,Intel Research,1
Geoffrey M. Voelker,University of California San Diego,2
Hui Zhang,Carnegie Mellon University,3
John Wroclawski,Massachusetts Institute of Technology,1
Sergey Gorinsky,IMDEA,1
János Tapolcai,BME,1
Tilman Wolf,University of Massachusetts,1
Mark Handley,UCL,3
Xiaoming Fu,GAU,1
K. K. Ramakrishnan,University of California Riverside,3
Marco Canini,KAUST,4
Balázs Sonkoly,BME,1
Aleksandar Kuzmanovic,Northwestern,1
Matteo Varvello,AT&T,1
Suresh Subramaniam,GWU,1
Szabolcs Malomsoky,Ericsson,1
Ruslan Smeliansky,MSU and ARCCN,1
András Császár,Ericsson,1
Ravi Kokku,IBM,1
Costin Raiciu,UPB,2
Marco Chiesa,KTH,1
Zhi-Li Zhang,UMN,1
Fernando Kuipers,TU Delft,1
Gábor Rétvári,BME,1
Vasileios Giotsas,Lancaster,1
Zoltán Lázár,Nokia,1
Levente Csikor,Hungary and Unicamp,1
István Gódor,Ericsson,1
Zalán Heszberger,BME,1
Michael Schapira,HUJI,2
Stefan Schmid,Univie,1
Joseph Tardo,tardo,1
Christina Vlachou,HPE,1
Antonio Fernandez Anta,IMDEA,1
Jasleen Kaur,UNC,1
Ignacio Castro,QMUL,1
Pin-Han Ho,UWaterloo,1
Henry Xu,CityU,1
Bruce Maggs,Duke and Akamai,1
Justine Sherry,CMU,2
Steve Uhlig,QMUL,1
Fadel Adib,Massachusetts Institute of Technology,2
Aditya Akella,Wisconsin,1
Mohammad Alizadeh,Massachusetts Institute of Technology,3
David Andersen,CMU,1
Hitesh Ballani,Microsoft,2
Sujata Banerjee,VMware,2
o Benson,Brown,1
Olivier Bonaventure,UCL,1
Martin Casado,A16Z,1
Ranveer Chandra,Microsoft,1
Romit Roy Choudhury,University of Illinois Urbana Champaign,1
Mosharaf Chowdhury,UMich,2
Nate Foster,Cornell,1
Deepak Ganesan,University of Massachusetts,1
Brighten Godfrey,University of Illinois Urbana Champaign,1
Marco Gruteser,Rutgers,1
Haitham Hassanieh,University of Illinois Urbana Champaign,2
Kyle Jamieson,Princeton,1
Srikanth Kandula,Microsoft,2
Changhoon Kim,Barefoot,1
Eddie Kohler,Harvard,1
Arvind Krishnamurthy,UW,1
Kate Lin,NCTU,1
Ratul Mahajan,Intentionet,1
James Mickens,Harvard,1
Dina Papagiannaki,Google,2
Adrian Perrig,ETH,1
Lili Qiu,UT,1
Aaron Schulman,UCSD,1
Srinivasan Seshan,CMU,1
Ion Stoica,Berkeley,1
Renata Teixeira,Inria,2
Amin Vahdat,Google,2
Laurent Vanbever,ETH,1
Stefano Vissicchio,UCL,1
Walter Willinger,NIKSUN,4
Hongyi Zeng,Facebook,1
Ming Zhang,Alibaba,2
Yibo Zhu,Microsoft,1
Stephen Pink,University of Arizona,1
Christophe Diot,Sprint ATL,1
Jim Kurose,University of Massachusetts,3
Joe Touch,USC/Information Science Institute,1
Bengt Ahlgren,Swedish Institute of Computer Science,1
Christian Tschudin,Uppsala University,1
Christophe Diot,CA,1
Jim Kurose,MA,1
Lee Breslau,AT&T,1
Simon Crosby,University Cambridge,1
Julio Escobar,Centauri,1
Deborah Estrin,University of Southern California,1
Mark Handley,ACIRI/ICSI,1
Jim Kurose,University Massachusetts,1
T.V. Laksman,Lucent,1
Simon Lam,University Texas,1
Derek McAuley,Microsoft Research,1
Erich Nahum,IBM,1
Guru Parulkar,Growth Networks,1
Radia Perlman,Sun,1
KK Ramakrishnan,AT&T,1
Keith Ross,Eurecom,1
Krishan Sabnani,Lucent,1
Doug Schmidt,Washington University,1
Aruna Seneviratne,University New South Wales,1
Scott Shenker,ACIRI/ICSI,1
David Wetherall,University Washington,1
Lixia Zhang,University of California Los Angeles,2
Peter Steenkiste,Carnegie Mellon University,4
Matt Mathis,Pittsburgh Supercomputing Center,1
Vern Paxson,ICIR,2
Vivian Benton,Pittsburgh Supercomputing Center,1
Janet Brown,Pittsburgh Supercomputing Center,1
Karen Sollins,Massachusetts Institute of Technology,1
Tom Anderson,University of Washington,5
