Name,University/Organization,No_of_times_as_TPC
Renata Teixeira,LIP6 / CNRS,1
Don Towsley,University of Massachusetts Amherst,1
Amin Vahdat,University of California San Diego,1
Anwar Walid,Bell Labs,1
Matt Welsh,Harvard University,1
Yinglian Xie,Microsoft Research SVC,1
Miguel Castro,Microsoft Research Cambridge,1
Paul Congdon,HP Labs,1
Tadayoshi Kohno,University of Washington,1
Amy Reibman,AT&T Labs Research,1
Elizabeth Belding,University of California-Santa Barbara,1
Sonia Fahmy,Purdue University,1
Shyamnath Gollakota,University of Washington,1
Tim Griffin,University of Cambridge,1
David Levin,University of Maryland,1
Olaf Maennel,Loughborough University,1
David Oran,Cisco Systems,1
Jitu Padhye,Microsoft Research,1
Vyas Sekar,Stony Brook University,1
Georgios Smaragdakis,Deutsche Telekom Labs/TU Berlin,1
Ion Stoica,University of California-Berkely,1
Nina Taft,Technicolor Palo Alto,1
Amin Vahdat,Google/University of California San Diego,1
Walter Willinger,AT&T Labs Research,1
Peter Reiher,University of California Los Angeles,1
Bharathan Balaji,University of California Los Angeles,1
Fahad Dogar,Tufts University,1
Sergey Gorinsky,IMDEA Networks Institute,1
Alex Afanasyev,Florida International University,2
Mayutan Arumaithurai,University of Goettingen,1
Dan Li,Tsinghua University,1
Jiasi Chen,University of California Riverside,1
Hamed Haddadi,Queen Mary University of London,1
Minlan Yu,Yale University,2
David Oran,,1
Bruce Maggs,Duke Univeristy / Akamai Technologies,1
Radhika Niranjan Mysore,VMware Research,1
Matthias Wählisch,Freie Universität Berlin,1
Jeff Burke,University of California Los Angeles,1
Nicholas Zhang,Huawei,1
David Meyer,Brocade,1
Puneet Sharma,Hewlett Packard Labs,1
Giovanni Pau,Paris,1
Vahab Pournaghshband,California State University,1
John W. Byers,Boston University,1
David Choffnes,Northeastern University,1
Mosharaf Chowdhury,University of Michigan,1
Rubén Cuevas,Universidad Carlos III de Madrid,1
Italo Cunha,UFMG,1
Xenofontas Dimitropoulos,University of Crete & FORTH,1
Monia Ghobadi,Microsoft Research,1
Phillipa Gill,University of Massachusetts - Amherst,1
Arjun Guha,University of Massachusetts - Amherst,1
Andreas Haeberlen,University of Pennsylvania,1
Changhoon Kim,Barefoot Networks,1
Teemu Koponen,Styra,1
Nikolaos Laoutaris,Telefonica,1
Olaf Maennel,Tallinn University of Technology,1
Venkat Padmanabhan,Microsoft Research India,1
Barath Raghavan,ICSI,1
George Varghese,University of California Los Angeles,1
James Hongyi Zeng,Facebook,1
David G. Anderson,Carnegie Mellon University,1
Pat Bosshard,Barefoot Networks,1
Petr Kuznetsov,Telecom ParisTech,1
James Larus,EPFL,1
Raluca Ada Popa,Berkeley,1
Darryl Veitch,University of Technology Sydney,1
