Name,University/Organization,No_of_times_as_TPC
Srikanth Kandula,Microsoft Research,2
Sastry Kompella,US Naval Research Laboratory,1
Robin Kravets,University of Illinois Urbana Champaign,8
John C. S. Lui,Chinese University of Hong Kong,1
Cecilia Mascolo,University of Cambridge,4
Michael Neely,Rutgers University,1
Samuel C. Nelson,University of Southern California,1
Bryan Parno,Microsoft Research,1
Konstantinos Pelechrinis,University of Pittsburgh,2
Alexandre Proutiere,KTH Royal Institute of Technology,2
Lili Qiu,University of Texas Austin,5
odoros Salonidis,Technicolor Paris Research Center,2
Vijay Subramanian,Northwestern University,1
Ivan Seskar,Rutgers University,2
Kannan Srinivasan,Ohio State University,1
Lakshmi Subramanian,New York University,2
Kevin Tang,Cornell University,1
Wade Trappe,Rutgers University,1
Xinzhou Wu,Qualcomm,2
Guoliang Xing,Michigan State University,2
Edmund Yeh,Northeastern University,2
Yung Yi,KAIST,8
Lei Ying,Iowa State University,2
Zheng Zeng,Apple,2
Edward W. Knightly,Rice University,1
Isabelle Guerin-Lassous,University of Lyon,1
Ashutosh Sabharwal,Rice University,2
Omer Gurewitz,Ben Gurion University,2
Imad Aad,DoCoMo Labs Europe,1
Ian  Akyildiz,Georgia Institute of Technology,1
Stefano Basagni,Northeastern University,6
Levente Buttyan,Budapest University of Technology and Economics,1
Guohong Cao,Pennsylvania State University,1
Matteo Cesana,Politecnico di Milano,1
Ranveer  Chandra,Microsoft Research,1
Xiuzhen  Cheng,George Washington University,1
Jon  Crowcroft,University of Cambridge,1
Francesca Cuomo,University of Rome La Sapienza,1
Olivier  Dousse,Nokia Research Center,1
Eylem  Ekici,Ohio State University,1
Tamer ElBatt,Lockheed Martin Advanced Technology Center,1
Yuguang Fang,University of Florida,1
Omer Gurewitz,BenGurion Universityof the Negev,1
Philippe Jacquet,INRIA,2
Sharad Jaiswal,Bell Labs Research India,1
Changhee Joo,Ohio State University,1
Iordanis  Koutsopoulos,University of ssaly,1
Prashant  Krishnamurthy,University of Pittsburgh,1
Anurag  Kumar,Indian Institute of Science,1
Wonjun  Lee,Korea University,1
Jang-Won  Lee,Yonsei University,1
Emilio Leonardi,Politecnicodi Torino,1
Qun Li,College of Williamand Mary,1
Baochun  Li,University of Toronto,1
Christoph  Lindemann,University of Leipzig,1
Yonghe  Liu,Universityof Texas at Arlington,1
Yunhao  Liu,Hong Kong Universityof Science and Technology,1
Xin Liu,University of Californiaat Davis,1
Wenjing  Lou,Worcester Polytechnic Institute,1
Songwu Lu,Universityof California at Los Angeles,1
Peter  Marbach,University of Toronto,1
Martin  Mauve,Heinrich Heine University Düsseldorf,1
Martin May,Thomson,1
Tommaso  Melodia,State Universityof New York at Buffalo,1
Klara  Nahrstedt,University of Illinois Urbana Champaign,1
Vishnu  Navda,Microsoft Research,1
Peng Ning,North Carolina State University,1
Panagiotis  Papadimitratos,EPFL,1
Charles  E. Perkins,WiChorus,1
Konstantinos  Psounis,University of Southern California,1
Ramesh  Rao,Universityof California San Diego,1
Sujay  Sanghavi,Purdue University,1
Saswati  Sarka,University of Pennsylvania,1
Michael  Segal,Ben-GurionUniversity of the Negev,1
Yi Shi,Virginia Institute of Technology,1
Ness  Shroff,Ohio State University,1
Prasun  Sinha,Ohio State University,1
Raghupathy  Sivakumar,Georgia Institute of Technology,1
Vikram  Srinivasan,Bell Labs Research India,1
Martha  Steenstrup,ClemsonUniversity/Stow Research L.L.C.,1
Kun Tan,Microsoft Research,2
Ming-Jer  Tsai,National Tsing Hua University,1
Anil  Vullikanti,Virginia Institute of Technology,1
Pengjun  Wan,IllinoisInstitute of Technology,1
Wenye  Wang,North Carolina State University,1
Dong Xuan,Ohio State University,1
Guoliang  Xue,Arizona State University,1
David K.  Y. Yau,Purdue University,1
Qian Zhang,Hong Kong Universityof Science and Technology,1
Junshan  Zhang,Arizona State University,1
Yanchao  Zhang,New Jersey Institute of Technology,1
Xi Zhang,Texas A&M University,1
Michele Zorzi,University of Padova,3
Jean-Pierre Hubaux ,EPFL,1
P.R. Kumar,University of Illinois Urbana Champaign,1
Charles E. Perkins,WiChorus,3
Philippe Jacquet,INRIA Paris-Rocquencourt,1
Konstantina (Dina) Papagiannaki,Intel Labs Pittsburgh,1
Devavrat Shah,Massachusetts Institute of Technology,1
Christine Anocq,INRIA Paris-Rocquencourt,1
Chantal Girodon,INRIA Paris-Rocquencourt,1
Scott MacDonald,e-side,1
Thomas Clausen,Ecole Polytechnique,1
Khaldoun Alagha,Paris 11 University,1
Paul Muhlethaler,INRIA Paris-Rocquencourt,1
Anis Laouiti,Télécom SudParis,1
Pascale Minet,INRIA Paris-Rocquencourt,1
Marcelo Dias de Amorim,UMPC LIP6,1
Emmanuel Baccelli,INRIA Saclay - Ile-de-France,1
Cédric Adjih,INRIA Paris-Rocquencourt,1
Lila Boukhatem,Paris 11 University,1
Nathalie Mitton,INRIA Lille-Nord Europe,1
Animashree Anandkumar,University of California Irvine,2
Sem Borst,Bell Labs Alcatel-Lucent & TU Eindhoven,1
Joseph Camp,SMU,1
Paolo Giaccone,Politecnico di Torino,1
Michelle Gong,Intel Research,1
Libin Jiang,University of California Berkeley,1
Anurag Kumar,Indian Institute of Science,2
T. V. Lakshman,Bell Labs Alcatel-Lucent,1
Alberto Lopez Toledo,Telefonica Research,1
Thyaga Nandagopal,Bell Labs,2
Craig Partridge,Raytheon BBN,1
Konstantinos Pelechrinis,Upitt,1
Alexandre Proutiere,MSR,1
Bozidar Radunovic,MSR Cambridge,1
Luigi Rizzo,University of Pisa,1
Sudipta Sengupta,MSR,1
Ivan Seskar,WINLAB,1
Jinwoo Shin,Massachusetts Institute of Technology and Georgia Tech,1
Vivek Shrivastava,Nokia Research Center,1
Thrasyvoulos Spyropoulos,Eurecom,1
Vijay Subramanian,NUIM,1
Kevin Tang,Cornell,1
Leandros Tassiulas,University of ssaly,4
Lei Ying,Iowa State,1
Hui Zang,Sprint,1
Meiyuan Zhao,Intel Research,1
P. R. Kumar ,University of Illinois Urbana Champaign,1
Adam Wolisz,TU Berlin,4
Rachid Guerraoui,EPFL,1
Elizabeth M. Belding-Royer,University of California Santa Barbara,1
Silvia Giordano,EPFL,1
Srdjan Capkun,EPFL,1
Amotz Bar-Noy,Brooklyn College,1
Elizabeth Belding-Royer,University of California Santa Barbara,2
Marco Conti,National Research Council of Italy,1
Scott Corson,Flarion Technologies,4
Samir Das,University of Cincinnati,1
Anthony Ephremides,University of Maryland College Park,2
Ramesh Govindan,International Computer Science Institute,1
John Heidemann,USC Information Sciences Institute,1
Uwe Kubach,University of Stuttgart,1
Chiara Petrioli,"University of Rome ""La Sapienza""",7
Andras Racz,Ericsson Hungary,1
Kurt Rothermel,University of Stuttgart,1
Henning Schulzrinne,Columbia University,2
Marcelo Spohn,Nokia Brazil,1
Fred Templin,SRI International,1
Nitin Vaidya,University of Illinois Urbana Champaign,4
Evangelos Kranakis,Carleton University,1
Elizabeth M. Belding,University of California Santa Barbara,1
Koushik Kar,RPI,1
Jim Brookes,Massachusetts Institute of TechnologyACS Chief Operating Officer,1
Gerry Chan,Terrestrial Wireless Systems,1
Thomas Kunz,Carleton University,1
Michel Barbeau,Carleton University,1
Suman Banerjee,University of Wisconsin-Madison,2
Romit Roy Choudhury,Duke University,2
Brooke Hardy,ACM,1
Giovanni Pau,University of California Los Angeles,2
Samuel Pierre,École Polytechnique de Montréal,1
Alejandro Quintero,École Polytechnique de Montréal,1
Ivan Stojmenovic,Ottawa University,2
