Name,University/Organization,No_of_times_as_TPC
Dimitrios Lymperopoulos,Microsoft Research,1
Andrew Markham,University of Oxford,3
Florian Michahelles,Siemens USA,1
Luca Mottola,"Politecnico di Milano, Italy and SICS Swedish ICT",1
Shahriar Nirjon,University of North Carolina at Chapel Hill,1
Neal Patwari,University of Utah,5
Vijay Raghunathan,Purdue University,4
Kay Roemer,Graz University of Technology,1
Alex Rogers,University of Southampton,1
Anthony Rowe,Carnegie Mellon University,6
Junehwa Song,Korea Advanced Institute of Science and Technology,1
Jack Stankovic,University of Virginia,4
Roger Wattenhofer,ETH Zurich,3
Pei Zhang,Carnegie Mellon University,7
Marco Zuniga,TU Delft,4
Adam Wolisz,"TU Berlin, Germany",1
Jie Liu,"Microsoft Research, USA",2
Lin Zhong,Rice University,3
Vlado Handziski,"TU Berlin, Germany",1
Roozbeh Jafari,"University of Texas at Dallas, USA",1
Tommaso Melodia,"SUNY at Buffalo, USA",1
Andreas Willig,"University of Canterbury, New Zealand",1
Rahul Mangharam,"University of Pennsylvania, USA",1
Silvia Santini,"TU Darmstadt, Germany",1
Mohammed Shoaib,"Microsoft Research, USA",1
Li Cui,"ICT CAS, China",1
Anna Foerster,"SUPSI Lugano, Switzerland",1
Heitor Ramos,"Universidade Federal de Alagoas, Brazil",1
Shaojie Tang,"Temple University, USA",1
Falko Dressler,"University of Innsbruck, Austria",1
Feng Zhao (Chair),"Microsoft Research, China",1
Leonidas Guibas,Stanford,1
William Kaiser,University of California Los Angeles,2
P.R. Kumar,"Texas A&M University, USA",1
Jack Stankovic,"University of Virginia, USA",1
Janos Sztipanovits,"Vanderbilt University, USA",1
Yuvraj Agarwal,Carnegie Mellon University,3
Marco Duarte,"UMass-Amherst, USA",1
Jie Gao,"Stony Brook University, USA",1
Omprakash Gnawali,"University of Houston, USA",1
James Gross,"KTH, Sweden",1
Tian He,"University of Minnesota, USA",1
Wen Hu,"CSIRO, Australia",2
Xenofon Koutsoukos,"Vanderbilt University, USA",1
Antonio Loureiro,"UFMG, Brazil",1
Luca Mottola,"Swedish Institute of Computer Science, Sweden",1
Suman Nath,"Microsoft Research, USA",1
